sat_id,sat_beam_id,sat_beam_ch_id,macd_id,concat,Ref,FWD Msps,FWD Rolloff,Modulation,Coding Rate,Ideal Spectral Efficiency,MACD_capacity_Mbps,beam-capacity,beam-capacity-lap3
1A,48,1,4,1A4814,1AB048C1-MACD_4,51,0.1,32APSK,0.8,3.7,181.6038894,1065.1,990.3
1A,48,2,5,1A4825,1AB048C2-MACD_5,45,0.1,32APSK,0.8,4.1,178.2493269,545,524
1A,48,2,3,1A4823,1AB048C2-MACD_3,46,0.1,32APSK,0.8,4,174.781025,545,524
1A,48,2,4,1A4824,1AB048C2-MACD_4,45,0.1,32APSK,0.8,4,170.9814375,545,524
1A,48,1,2,1A4812,1AB048C1-MACD_2,51,0.1,16APSK,0.8,3.2,155.2372817,1065.1,990.3
1A,48,1,3,1A4813,1AB048C1-MACD_3,51,0.1,16APSK,0.8,3.2,155.2372817,1065.1,990.3
1A,48,1,1,1A4811,1AB048C1-MACD_1,52,0.1,16APSK,0.8,3,148.3364,1065.1,990.3
1B,48,1,2,1B4812,1BB048C1-MACD_2,52,0.2,32APSK,0.9,4.4,219.8927,614.5,590.9
1B,48,1,3,1B4813,1BB048C1-MACD_3,52,0.2,32APSK,0.8,4.1,205.977,614.5,590.9
1B,48,2,3,1B4823,1BB048C2-MACD_3,46,0.1,32APSK,0.9,4.4,182.2104231,546.7,520.7
1B,48,2,5,1B4825,1BB048C2-MACD_5,45,0.1,32APSK,0.8,4,177.8,546.7,520.7
1B,48,1,1,1B4811,1BB048C1-MACD_1,52,0.2,16APSK,0.8,3.3,165.0092,614.5,590.9
1B,48,2,4,1B4824,1BB048C2-MACD_4,45,0.1,32APSK,0.8,3.7,160.238726,546.7,520.7
1A,49,1,3,1A4913,1AB049C1-MACD_3,48,0.1,32APSK,0.8,4,170.9213077,893.5,847.5
1A,49,1,2,1A4912,1AB049C1-MACD_2,48,0.1,32APSK,0.8,3.7,170.9213077,893.5,847.5
1A,49,1,4,1A4914,1AB049C1-MACD_4,48,0.1,32APSK,0.8,3.7,170.9213077,893.5,847.5
1A,49,1,5,1A4915,1AB049C1-MACD_5,48,0.1,32APSK,0.8,3.7,170.9213077,893.5,847.5
1A,49,1,1,1A4911,1AB049C1-MACD_1,46,0.1,32APSK,0.8,3.7,163.7995865,893.5,847.5
1B,49,1,3,1B4913,1BB049C1-MACD_3,52,0.2,32APSK,0.9,4.4,219.8927,657.1,835
1B,49,1,1,1B4911,1BB049C1-MACD_1,52,0.2,32APSK,0.8,4.1,205.977,657.1,835
1B,49,1,2,1B4912,1BB049C1-MACD_2,52,0.2,32APSK,0.8,4.1,197.57855,657.1,835
1A,50,1,5,1A5015,1AB050C1-MACD_5,48,0.1,32APSK,0.8,3.7,162.6066,1168.8,1104.7
1A,50,1,6,1A5016,1AB050C1-MACD_6,48,0.1,32APSK,0.8,3.7,170.9213077,1168.8,1104.7
1A,50,1,7,1A5017,1AB050C1-MACD_7,48,0.1,32APSK,0.8,3.7,170.9213077,1168.8,1104.7
1A,50,1,1,1A5011,1AB050C1-MACD_1,50,0.1,16APSK,0.9,3.5,158.6626923,1168.8,1104.7
1A,50,1,3,1A5013,1AB050C1-MACD_3,49,0.1,16APSK,0.8,3.3,155.4894385,1168.8,1104.7
1A,50,1,2,1A5012,1AB050C1-MACD_2,49,0.1,16APSK,0.8,3.2,149.1495452,1168.8,1104.7
1A,50,1,4,1A5014,1AB050C1-MACD_4,48,0.1,16APSK,0.8,3,136.9259077,1168.8,1104.7
1B,50,1,6,1B5016,1BB050C1-MACD_6,48,0.1,32APSK,0.8,4,170.9213077,1056.1,993.5
1B,50,1,1,1B5011,1BB050C1-MACD_1,50,0.1,32APSK,0.8,3.7,178.0430288,1056.1,993.5
