sat_id,sat_beam_id,sat_beam_ch_id,macd_id,concat,Ref,FWD Msps,FWD Rolloff,Modulation,Coding Rate,Ideal Spectral Efficiency,MACD_capacity_Mbps,beam-capacity,beam-capacity-lap3
1B,69,1,2,1B6912,1BB069C1-MACD_2,48,0.1,16APSK,0.9,3.5,162.6066,1004,494.9
1B,69,1,3,1B6913,1BB069C1-MACD_3,48,0.1,16APSK,0.9,3.5,162.6066,1004,494.9
1B,69,1,1,1B6911,1BB069C1-MACD_1,50,0.1,16APSK,0.8,3,142.6311538,1004,494.9
1A,70,1,5,1A7015,1AB070C1-MACD_5,52,0.1,32APSK,0.8,4.1,205.977,420.2,396
1A,70,1,6,1A7016,1AB070C1-MACD_6,50,0.1,32APSK,0.8,4.1,198.0548077,420.2,396
1B,70,1,3,1B7013,1BB070C1-MACD_3,52,0.1,32APSK,0.8,4.1,205.977,411.8,396
1B,70,1,4,1B7014,1BB070C1-MACD_4,50,0.1,32APSK,0.8,4,189.979375,411.8,396
1A,71,1,3,1A7113,1AB071C1-MACD_3,52,0.2,16APSK,0.8,3.2,164.6,164.6,215.8
1B,71,1,2,1B7112,1BB071C1-MACD_2,15,0.1,16APSK,0.8,3,42.78934615,44.5,42.8
1A,72,1,6,1A7216,1AB072C1-MACD_5,36,0.1,32APSK,0.8,4.1,128.1909808,250.7,258.4
1A,72,1,7,1A7217,1AB072C1-MACD_5,32,0.1,32APSK,0.8,4.1,113.9,250.7,258.4
1B,72,1,6,1B7215,1BB072C1-MACD_5,52,0.1,32APSK,0.8,3.7,192.6,192.6,197.6
1A,73,1,8,1A7318,1AB073C1-MACD_8,30,0.2,32APSK,0.8,4.1,118.8328846,123.6,118.8
1A,74,1,1,1A7411,1AB074C1-MACD_1,52,0.2,32APSK,0.9,4.5,219.8927,231.6,291.1
1B,74,1,1,1B7411,1BB074C1-MACD_1,52,0.1,32APSK,0.9,4.5,219.8927,231.6,222.7
1A,75,1,4,1A7513,1AB075C1-MACD_3,36,0.1,32APSK,0.9,4.5,154.1432423,302.8,241.9
1A,75,1,5,1A7512,1AB075C1-MACD_2,32,0.1,32APSK,0.9,4.5,137.0162154,302.8,241.9
1B,75,1,3,1B7513,1BB075C1-MACD_3,52,0.1,32APSK,0.9,4.4,205.977,228.7,206
1A,76,1,1,1A7611,1AB076C1-MACD_1,52,0.2,32APSK,0.8,4,185.16475,205.5,185.2
1B,76,1,1,1B7611,1BB076C1-MACD_1,50,0.1,16APSK,0.8,3,142.6311538,148.3,142.6
1A,77,1,2,1A7712,1AB077C1-MACD_2,52,0.2,32APSK,0.8,3.7,185.16475,192.6,345.1
1B,77,1,2,1B7712,1BB077C1-MACD_2,50,0.1,32APSK,0.8,3.7,178.0430288,185.2,178
1A,78,1,1,1A7811,1AB078C1-MACD_1,52,0.2,32APSK,0.8,4,197.57855,205.5,197.6
1B,78,1,1,1B7811,1BB078C1-MACD_1,50,0.1,16APSK,0.8,3.3,165,165,158.7
1A,79,1,3,1A7913,1AB079C1-MACD_3,52,0.2,16APSK,0.9,3.5,183.2,349.8,345.4
1A,79,1,4,1A7914,1AB079C1-MACD_4,45,0.1,32APSK,0.8,3.7,160.238726,349.8,345.4
1B,79,1,3,1B7913,1BB079C1-MACD_3,50,0.1,16APSK,0.8,3.3,152.1934135,165,158.7
1A,80,1,4,1A8014,1AB080C1-MACD_4,52,0.2,32APSK,0.8,4.1,197.57855,214.2,197.6
1B,80,1,3,1B8013,1BB080C1-MACD_3,50,0.1,32APSK,0.8,3.7,178.0430288,185.2,178
1A,81,1,4,1A8114,1AB081C1-MACD_4,52,0.2,32APSK,0.8,3.7,185.16475,192.6,345.1
1B,81,1,4,1B8114,1BB081C1-MACD_4,50,0.1,16APSK,0.8,3.3,158.6626923,165,158.7
1A,82,1,1,1A8211,1AB082C1-MACD_1,52,0.1,32APSK,0.8,3.7,192.6,377.8,375.6
1A,82,1,2,1A8212,1AB082C1-MACD_2,50,0.1,32APSK,0.8,3.7,178.0430288,377.8,375.6
1B,82,1,1,1B8211,1BB082C1-MACD_1,50,0.1,32APSK,0.8,4,178.0430288,197.6,178
1A,83,1,2,1A8312,1AB083C1-MACD_2,52,0.1,32APSK,0.8,3.7,185.16475,377.8,363.2
1A,83,1,3,1A8313,1AB083C1-MACD_3,50,0.1,32APSK,0.8,3.7,178.0430288,377.8,363.2
1B,83,1,2,1B8312,1BB083C1-MACD_2,50,0.1,32APSK,0.8,3.7,178.0430288,185.2,178
1A,84,1,2,1A8412,1AB084C1-MACD_2,52,0.2,32APSK,0.8,3.7,185.16475,359.2,337.6
1A,84,1,3,1A8413,1AB084C1-MACD_3,45,0.1,32APSK,0.8,3.7,152.4436875,359.2,337.6
1B,84,1,2,1B8412,1BB084C1-MACD_2,50,0.1,16APSK,0.8,3,142.6311538,148.3,152.2
1A,85,1,2,1A8512,1AB085C1-MACD_2,52,0.2,32APSK,0.8,4.1,205.977,214.2,206
1B,85,1,2,1B8512,1BB085C1-MACD_2,50,0.1,32APSK,0.8,3.7,178.0430288,185.2,178
1A,86,1,3,1A8613,1AB086C1-MACD_3,52,0.1,32APSK,0.8,4,197.57855,390.7,375.6
1A,86,1,4,1A8614,1AB086C1-MACD_4,50,0.1,32APSK,0.8,3.7,178.0430288,390.7,375.6
1B,86,1,3,1B8613,1BB086C1-MACD_3,38,0.1,32APSK,0.8,3.7,135.3127019,140.7,178
1A,87,1,3,1A8713,1AB087C1-MACD_3,52,0.2,32APSK,0.8,4.1,205.977,214.2,206
1B,87,1,2,1B8712,1BB087C1-MACD_2,50,0.1,32APSK,0.8,4,189.979375,197.6,190
1A,88,1,1,1A8811,1AB088C1-MACD_1,52,0.2,32APSK,0.8,4.1,197.57855,214.2,345.3
1B,88,1,1,1B8811,1BB088C1-MACD_1,50,0.1,16APSK,0.9,3.5,169.381875,176.2,169.4
1A,89,1,7,1A8917,1AB089C1-MACD_7,52,0.1,32APSK,0.8,3.7,185.16475,377.8,363.2
1A,89,1,8,1A8918,1AB089C1-MACD_8,50,0.1,32APSK,0.8,3.7,178.0430288,377.8,363.2
1B,89,1,7,1B8917,1BB089C1-MACD_7,50,0.1,32APSK,0.8,4,189.979375,197.6,190
1A,90,1,4,1A9014,1AB090C1-MACD_4,52,0.2,32APSK,0.8,4,185.16475,205.5,368.4
1B,90,1,4,1B9014,1BB090C1-MACD_4,50,0.1,32APSK,0.8,3.7,169.381875,185.2,169.4
1A,91,1,3,1A9113,1AB091C1-MACD_3,50,0.1,32APSK,0.8,4.1,198.0548077,411.5,395.6
1A,91,1,2,1A9112,1AB091C1-MACD_2,52,0.1,32APSK,0.8,4,197.57855,411.5,395.6
1B,91,1,2,1B9112,1BB091C1-MACD_2,50,0.1,16APSK,0.8,3.2,152.1934135,158.3,152.2
1A,92,1,3,1A9213,1AB092C1-MACD_3,52,0.2,32APSK,0.8,3.7,185.16475,192.6,185
1B,92,1,3,1B9213,1BB092C1-MACD_3,50,0.1,16APSK,0.8,3.3,165,165,178
1A,93,1,1,1A9311,1AB093C1-MACD_1,52,0.2,32APSK,0.8,3.7,185.16475,192.6,185.2
1B,93,1,1,1B9311,1BB093C1-MACD_1,50,0.1,16APSK,0.9,3.5,152.1934135,176.2,158.7
1A,94,1,1,1A9411,1AB094C1-MACD_1,52,0.2,32APSK,0.8,3.7,185.16475,192.6,345.3
1B,94,1,1,1B9411,1BB094C1-MACD_1,50,0.1,16APSK,0.8,3.2,152.1934135,158.3,142.6
1A,95,1,4,1A9514,1AB095C1-MACD_4,52,0.2,32APSK,0.8,3.7,192.6,192.6,337.5
1B,95,1,3,1B9513,1BB095C1-MACD_3,50,0.1,16APSK,0.9,3.5,176.2,176.2,169.4
1A,96,1,2,1A9612,1AB096C1-MACD_2,52,0.2,32APSK,0.8,4,197.57855,205.5,185.2
1B,96,1,2,1B9612,1BB096C1-MACD_2,50,0.1,32APSK,0.8,3.7,178.0430288,185.2,178
1A,97,1,4,1A9714,1AB097C1-MACD_4,52,0.2,32APSK,0.8,4,205.5,205.5,206
1B,97,1,3,1B9713,1BB097C1-MACD_3,50,0.1,32APSK,0.8,3.7,178.0430288,185.2,178
1A,98,1,4,1A9814,1AB098C1-MACD_4,52,0.2,32APSK,0.8,4.1,205.977,214.2,206
1B,98,1,3,1B9813,1BB098C1-MACD_3,50,0.1,32APSK,0.8,3.7,178.0430288,185.2,178
1A,99,1,1,1A9911,1AB099C1-MACD_1,52,0.2,32APSK,0.8,4,197.57855,205.5,197.6
1B,99,1,1,1B9911,1BB099C1-MACD_1,50,0.1,16APSK,0.9,3.5,176.2,176.2,158.7
1A,100,1,7,1A10017,1AB100C1-MACD_7,50,0.2,32APSK,0.8,3.7,178,354.2,343.1
1A,100,1,1,1A10011,1AB100C1-MACD_1,52,0.2,32APSK,0.8,3.7,176.15715,354.2,343.1
1B,100,1,1,1B10011,1BB100C1-MACD_1,50,0.1,32APSK,0.8,3.7,178.0430288,185.2,169.4
1A,101,1,1,1A10111,1AB101C1-MACD_1,52,0.1,32APSK,0.8,3.7,165,165,176.2
1B,101,1,1,1B10111,1BB101C1-MACD_1,50,0.1,32APSK,0.8,3.7,178.0430288,185.2,169.4
