sat_id,sat_beam_id,sat_beam_ch_id,macd_id,Conc,Cluster,Vnode,cvv,LAG,comment
1A,89,1,7,1A8917,3,7,307,1,
1A,89,1,8,1A8918,3,7,307,1,
1B,89,1,7,1B8917,4,16,416,2,
1A,90,1,4,1A9014,3,9,309,1,
1B,90,1,4,1B9014,4,11,411,2,
1A,91,1,2,1A9112,1,3,103,1,
1A,91,1,3,1A9113,1,7,107,1,
1B,91,1,2,1B9112,6,12,612,2,
1A,92,1,3,1A9213,3,9,309,1,
1B,92,1,3,1B9213,4,11,411,2,
1A,93,1,1,1A9311,2,5,205,1,
1B,93,1,1,1B9311,5,14,514,2,
1A,94,1,1,1A9411,3,13,313,1,
1B,94,1,1,1B9411,4,18,418,2,
1A,95,1,4,1A9514,1,5,105,1,
1B,95,1,3,1B9513,6,15,615,2,
1A,96,1,2,1A9612,5,3,503,1,
1B,96,1,2,1B9612,4,2,402,2,
1A,97,1,4,1A9714,1,7,107,1,
1B,97,1,3,1B9713,6,12,612,2,
1A,98,1,4,1A9814,6,1,601,1,
1B,98,1,3,1B9813,6,8,608,2,
1A,99,1,1,1A9911,5,2,502,2,
1B,99,1,1,1B9911,4,17,417,2,
1A,100,1,1,1A10011,6,1,601,1,
1A,100,1,7,1A10017,6,1,601,1,
1B,100,1,1,1B10011,6,10,610,2,
1A,101,1,1,1A10111,5,3,503,1,
1B,101,1,1,1B10111,4,2,402,2,
